,"ppl","age"
"1279","person",43
"1280","person",60
"1281","person",65
"1282","person",59
"1283","person",71
"1284","person",71
"1285","person",64
"1286","person",56
"1287","person",68
"1288","person",60
"1289","person",64
"1290","person",75
"1291","person",73
"1292","person",65
"1293","person",80
"1294","person",57
"1295","person",61
"1296","person",61
"1297","person",64
"1298","person",59
"1299","person",70
"1300","person",62
"1301","person",69
"1302","person",70
"1303","person",58
"1304","person",71
"1305","person",65
"1306","person",46
"1307","person",67
"1308","person",74
"1309","person",56
"1310","person",77
"1311","person",64
"1312","person",66
"1313","person",70
"1314","person",63
"1315","person",73
"1316","person",69
"1317","person",66
"1318","person",66
"1319","person",62
"1320","person",84
"1321","person",70
"1322","person",71
"1323","person",66
"1324","person",69
"1325","person",55
"1326","person",70
"1327","person",46
"1328","person",82
"1329","person",68
"1330","person",58
"1331","person",60
"1332","person",79
"1333","person",50
"1334","person",54
"1335","person",71
"1336","person",74
"1337","person",59
"1338","person",62
"1339","person",64
"1340","person",73
"1341","person",78
"1342","person",62
"1343","person",51
"1344","person",72
"1345","person",69
"1346","person",70
"1347","person",71
"1348","person",60
"1349","person",81
"1350","person",66
"1351","person",59
"1352","person",47
"1353","person",67
"1354","person",62
"1355","person",71
"1356","person",64
"1357","person",53
"1358","person",76
"1359","person",63
"1360","person",68
"1361","person",56
"1362","person",65
"1363","person",81
"1364","person",60
"1365","person",53
"1366","person",61
"1367","person",61
"1368","person",68
"1369","person",63
"1370","person",69
"1371","person",60
"1372","person",62
"1373","person",68
"1374","person",71
"1375","person",55
"1376","person",61
"1377","person",50
"1378","person",65
"1379","person",61
"1380","person",34
"1381","person",68
"1382","person",77
"1383","person",59
"1384","person",49
"1385","person",64
"1386","person",53
"1387","person",70
"1388","person",68
"1389","person",73
"1390","person",60
"1391","person",54
"1392","person",59
"1393","person",70
"1394","person",56
"1395","person",71
"1396","person",56
"1397","person",47
"1398","person",40
"1399","person",66
"1400","person",75
"1401","person",67
"1402","person",73
"1403","person",78
"1404","person",67
"1405","person",83
"1406","person",65
"1407","person",73
"1408","person",56
"1409","person",53
"1410","person",66
"1411","person",77
"1412","person",57
"1413","person",72
"1414","person",84
"1415","person",65
"1416","person",60
"1417","person",72
"1418","person",66
"1419","person",59
"1420","person",74
"1421","person",67
"1422","person",47
"1423","person",63
"1424","person",36
"1425","person",68
"1426","person",77
"1427","person",54
"1428","person",66
"1429","person",64
"1430","person",63
"1431","person",56
"1432","person",63
"1433","person",53
"1434","person",69
"1435","person",80
"1436","person",44
"1437","person",70
"1438","person",59
"1439","person",81
"1440","person",55
"1441","person",64
"1442","person",77
"1443","person",64
"1444","person",71
"1445","person",73
"1446","person",80
"1447","person",67
"1448","person",68
"1449","person",63
"1450","person",56
"1451","person",76
"1452","person",79
"1453","person",72
"1454","person",66
"1455","person",67
"1456","person",58
"1457","person",76
"1458","person",81
"1459","person",74
"1460","person",76
"1461","person",59
